TOKEN	NER_TAG
Nancy_Kerrigan	PER
USA_Today	ORG
Jeff_Gillooly	PER
Painel_do_Leitor	O
Marilena_Ansaldi	PER
Teatro_da_Dança	O
Sala_Gil_Vicente	O
Teatro_Ruth_Escobar	O
Sonia_Motta	PER
Sendero_Luminoso	ORG
Octavio_Paz	PER
Van_Himst	PER
Vital_Borkelmans	PER
MIT_Dealing_Management_Inc.	O
Luiz_Henrique	PER
Faria_Lima	O
Luís_Carlos_Berrini	PER
Júlio_Neves	PER
Saaras	O
Força_Sindical	ORG
Sindicato_dos_Metalúrgicos	ORG
Grande_Rio	LOC
Carlos_Eduardo_Lins_da_Silva	PER
Lawton_Chiles	PER
Partido_Democrata	ORG
Bill_Clinton	PER
George_Bush	PER
Santiago_Bernabeu	PER
Itamar_Franco	PER
Alexis_Stepanenko	PER
Minas_e_Energia	ORG
Mariano_Gonçalves_Neto	PER
Ernane_Galvêas	PER
Banco_Nacional_de_Habitação	ORG
Ministério_do_Interior	ORG
Bradesco_VISA	ORG
Marco_Antonio_Nahum	PER
Winfreys	O
Taras_Liskevich	PER
Rio_Branco	O
Santo_André	LOC
Bruno_José_Daniel	PER
Paulo_Cesar	PER
Ronald_Reagan	PER
Diário_da_Justiça	ORG
Free_Press	O
PSDB-PFL-PTB	ORG
Gustavo_Franco	PER
Comissão_Justiça_e_Paz	ORG
Regina_Casé	PER
Luiz_Zerbini	PER
Muir_Woods	PER
Itamar_Borges	PER
Santa_Fé_do_Sul	LOC
José_Machado_de_Campos_Filho	PER
Alberto_Goldman	PER
Aurélio_Alonso	PER
Folha_Norte	O
Burle_Filho	PER
Antônio_Carlos_Biscaia	PER
Três_Tristes_Tigres	O
Tokyo_Journal	PER
Rio_De_Janeiro	LOC
Bloco_da_Galinha_Azul	ORG
Ah_bem	O
Piranhos	O
Monte_líbano	O
Clube_das_Mulheres	ORG
Clube_das_Bigodudas	ORG
Napapiiri	O
São_José_do_Rio_Preto	LOC
Atlas_Folha_/_«_The_New_York_Times_»	O
Vale_do_Ribeira	LOC
Milton_Julio_Zanluqui	PER
Paraklin_Pára-raios	O
Gaiola_de_Faraday	O
Bolsa_de_Mercadorias	O
A_Marca_da_Maldade	O
Stan_Kenton	PER
Peter_Gunn	PER
Dizem_que_É_Amor	O
High_Time	O
Bonequinha_de_Luxo	O
Vício_Maldito	O
A_Pantera_Cor-de-Rosa	PER
Dias_Gomes	PER
Irmãos_Coragem	O
Janete_Clair	PER
Alfio_Basile	PER
Reginaldo_Duarte	PER
Juazeiro_do_Norte	LOC
Tasso_Jereissati	PER
Jônice_Tristão	PER
Elcio_Álvares	PER
Jornal_Nacional	O
Levir_Culpi	PER
Fernando_Fortes	PER
Luiz_Inácio_Lula_da_Silva	PER
IRLF	O
Luís_Carlos_dos_Santos	PER
Tatiana_Marques_Pedrosa	PER
São_Clemente	O
Feira_Internacional_de_Tecelagem	ORG
Imposto_Único	O
Trio_Irakitan	O
Jorge_Bornhausen	PER
Gustavo_Krause	PER
Olho_Mágico	O
Rio_Piedra	LOC
Terceiro_Mundo	O
Euclides_da_Cunha	PER
Jeca_Tatu	O
Osvaldo_Aranha	PER
TVs_Bandeirantes	ORG
Salvo_Lima	PER
Ignacio_Perea	PER
Pérsio_Arida	PER
Marluce_Dias_da_Silva	PER
Young_Gods	O
Nine_Inch_Nails	ORG
Ministério_do_Planejamento	ORG
Ministério_dos_Transportes	ORG
Santa_Catarina	LOC
Belo_Horizonte	LOC
O_Estado_de_Minas	O
Hélio_Costa	PER
Fogo_Cruzado	O
Divisão_de_Vigilância_Sanitária	ORG
Banco_de_Leite_Humano	O
Secretaria_Estadual_de_Saúde	ORG
Fausto_Cardoso	PER
Cássia_Kiss	PER
Maria_do_Carmo_Nascimento_Alves	PER
José_Arthur_Giannotti	PER
Roberto_Schwarz	PER
Paul_Singer	PER
Capitalismo_e_Escravidão_no_Brasil_Meridional	O
Rubens_Barrichello	PER
Christian_Fittipaldi	PER
Karl_Wendlinger	PER
Noélia_Soares	PER
João_Paulo_2º	PER
Emília_Ehrlich	PER
Livraria_da_Vila	O
Supremo_Tribunal_Federal	ORG
M2.000	O
M2.000_Summer_Concerts	O
Capão_da_Canoa	LOC
José_Paulo_Bisol	PER
Francisco_Rossi	PER
Mário_Covas	PER
Uno_Mille	O
Clean_Car	O
Seguridade_Social	O
Renato_Batista_Pedroso	PER
Douglas_José_da_Silva	PER
Roberto_Ilhesca	PER
Copa_Africana_de_Nações	ORG
Elijah_Litana	PER
Emmanuel_Amunike	PER
Fundo_Social_de_Emergência	O
Ricki_Lake	PER
Karl_Lagerfeld	PER
People_for_Ethical_Treatment_of_Animals	ORG
Steve_Wonder	PER
Stevie_Wonder	PER
Wilson_Romão	PER
Miguel_Kodja_Neto	PER
Samir_Abdul_Hack	PER
João_Paulo_Bordon	PER
Eldorado_S/A	ORG
Fidel_Castro	PER
Companhia_de_Dança	ORG
Deborah_Colker	PER
Alma_Corsária	PER
Carlos_Reichenbach	PER
Mil_e_Uma	O
Suzana_de_Moraes	PER
Cannes-94	ORG
Quinzena_dos_Realizadores	O
La_Reina_de_La_Noche	O
Arturo_Ripstein	PER
Um_Certo_Olhar	O
Los_Naufragos	O
Miguel_Littin	PER
Sin_Compassion	O
Francisco_Lombardi	PER
Los_AngelesDetroitLos_Angeles	O
Guarda_Municipal	ORG
Mauro_Silva	PER
Bradesco_Visa	ORG
Seminário_Internacional	O
Qualidade_Total	O
Tsunezaemon_Maeda	PER
Sagaken	O
Santa_Tereza	LOC
Arnaldo_Leite	PER
Programa_de_Capacitação_Gerencial	O
Serviço_Brasileiro_de_Apoio_às_Micro_e_Pequenas_Empresas	O
Tribunal_de_Contas	ORG
Justiça_Eleitoral	ORG
Tribunais_Regionais_Eleitorais	ORG
Departamento_de_Controle_e_Uso_de_Imóveis	ORG
Cine_West_Plaza_3	O
Joilson_da_Silva	PER
Waldir_de_Arruda_Miranda_Carneiro	PER
Boathouse_Cafe	O
East_72	O
Park_Drive_North	LOC
Central_Park	LOC
Christo\'s	O
Cacá_Diegues	PER
TV_Cultura	ORG
Jorge_Ben_Jor	PER
Ferreira_Jr.	PER
O_Amanuense_Belmiro	PER
Luiza_Erundina	PER
Paulo_Maluf	PER
Associação_Nacional_de_Agências_de_Viagens	ORG
Sérgio_Nogueira	PER
Associação_Nacional_de_Pós-graduação_em_Ciências_Sociais	ORG
Buenos_Aires	LOC
Othon_Bastos	PER
Lambari_d'_Oeste	O
Reinaldo_Lourenço	PER
Walter_Rodrigues	PER
Der_Haten	O
Viva_Viva	O
Sucumbe_a_Cólera	O
Cia._do_Linho	O
Special_K	O
Lorenzo_Merlino	PER
Anderson_Rubbo	PER
Cacá_di_Guglielmo	PER
Alessandro_Tierni	PER
Claudia_Guimarães	PER
Folha_Imagem	O
Bolsa_de_Valores_de_São_Paulo	ORG
Conselho_Monetário_Nacional	ORG
Plano_Verão	O
Mighty_Max	O
Juan_Manuel_Fangio	PER
Fórmula_1	O
Fórmula_Indy	O
Dan_Gurney	PER
União_Européia	ORG
Fittipaldi_Promoções	O
Special_Girolando	O
Salute_Milk	O
Instituto_Médico_Legal	ORG
Taboão_da_Serra	LOC
Itaim_Paulista	LOC
Kalef_João_Francisco	PER
Gazeta_Filho	O
Francisco_Morato	PER
ISO-9002	O
Volta_Redonda	LOC
Polícia_Federal	ORG
Juan_Jose_Galeano	PER
Superior_Tribunal_de_Justiça	ORG
Ministério_Público_Federal	ORG
Orestes_Quércia	PER
Associação_dos_Engenheiros	ORG
Bulletin_Board_Systems	O
Departamento_de_Defesa	ORG
Itereí	O
Arnaldo_Baptista	PER
Vera_Lucia_Vassouras	PER
Suburbano_Coração	O
Lovemar	O
Andréa_Beltrão	PER
Marco_Nanini	PER
Naum_Alves_de_Souza	PER
Marisa_Orth	PER
Pedro_Paulo_Rangel	PER
Diogo_Vilela	PER
Rio_Grande_do_Sul	LOC
Minas_Gerais	LOC
Espírito_Santo	LOC
Mato_Grosso_do_Sul	LOC
Memorial_de_Menininha_do_Gantois	O
Menininha_do_Gantois	O
Instituto_Brasileiro_do_Patrimônio_Cultural	ORG
Museu_Victor_Meirelles	LOC
A_Primeira_Missa_no_Brasil	O
Cartilha_da_Segurança_Escolar	O
Isaac_Ainhorn	PER
Raymond_Kelly	PER
Porto_Príncipe	LOC
Inteligência_Fiscal	O
Marcos_Vinícius_Lima	PER
Imposto_de_Importação	O
Imposto_sobre_Produtos_Industrializados	O
Manoel_Carlos_Marques_Beato	PER
José_Sebastião_Figueiredo	PER
La_Bicocca	O
Concurso_Brasileiro_de_Sommeliers	O
Jack_«Girafa»_Charlton	PER
Jack_Girafa	PER
Flávio_Ferrari	PER
Ibope_Mídia	O
Plácido_Domingo	PER
Richard_Strauss	PER
LUÍS_ANTÔNIO_GIRON	PER
Austríaca_de_Turismo	O
Visconde_da_Luz	PER
Companhia_de_Engenharia_de_Tráfego	ORG
João_Cachoeira	PER
Clodomiro_Amazonas	PER
Fernando_Henrique	PER
Esperidião_Amin	PER
Boeing_737	O
China_Southern_Airlines	ORG
Aerospace_146	O
China_Northwest_Airlines	ORG
Ningxia_Hui	PER
Ráscal_Pizza_&_Cozinha	ORG
Grupo_Viena	ORG
Grupo_de_Juiz_de_Fora	O
Ella_Fitzgerald	PER
Laerte_Cordeiro_&_Associados	ORG
Pacto_de_Varsóvia	O
José_Carreras	PER
Thomas_Hampson	PER
Ben_Heppner	PER
Sergei_Leiferkus	PER
Bryn_Terfei	PER
Cecilia_Bartoli	PER
Jessye_Norman	PER
Anne_Sofie_von_Otter	PER
Dawn_Upshaw	PER
Galina_Gorchakova	PER
Classical_Music_Award	O
BBC_Music_Magazine	O
The_Independent	O
Márcio_Santos	PER
Kennet_Andersson	PER
Antonio_Jorge	PER
Pete_Sampras	PER
Michael_Stich	PER
Torneio_de_Doha	O
Karim_Alami	PER
Ronald_Agenor	PER
Stefan_Edberg	PER
Anders_Jarryd	PER
Cosmética\'94	O
Parque_Anhembi	LOC
Secretaria_das_Finanças	ORG
Prefeitura_de_São_Paulo	ORG
Unidade_Fiscal_do_Município	ORG
Tributação_no_Brasil_e_o_Imposto_Único	O
Marcos_Cintra	PER
Santo_Américo	O
MONIQUE_EVANS	PER
Monique_Evans	PER
Tribunal_de_Justiça_Militar	ORG
Casa_de_Detenção	LOC
Conselho_Municipal_de_Defesa_dos_Direitos_das_Mulheres_e_das_Minorias	ORG
Coordenadoria_Especial_da_Mulher	ORG
Catuaí_Shopping_Center	LOC
Marta_Suplicy	PER
Delegacia_Regional_do_Trabalho	ORG
Instituro_Pedro_Melo	ORG
More_Fun	O
Takeo_Hirata	PER
Takuo_Hirano	PER
Tetsuyuki_Hirano	PER
Hirano_Design_International_Inc.	ORG
Teatro_Nacional	O
June_Drummond	PER
Companhia_das_Letras	ORG
Caça_aos_Turistas	O
Caupenne_d\'Armagnac	O
Volta_da_França	O
Piotr_Wator	PER
Gajowianka	O
Wator	O
Fausto_Camper	PER
Jabaury_Jr.	PER
Banco_Nacional	O
American_Express	ORG
Jockey_Club	ORG
Fundação_Getúlio_Vargas	ORG
Associação_Paulista_de_Propaganda	ORG
Recanto_da_Cachoeira	LOC
São_Silvestre	ORG
Bob_Fernandes	PER
Luiz_Antônio_de_Medeiros	PER
Comissão_de_Assuntos_Econômicos	ORG
Justiça_do_Trabalho	ORG
Alex_Trotman	PER
Comunidade_de_Estados_Independentes	ORG
Douglas_Ivester	PER
Francisco_Lafayette	PER
Banco_Banorte	ORG
Adolfo_Moruzzi	PER
Secretaria_de_Vias_Públicas	ORG
Michael_Myers	PER
Freddy_Krueger	PER
Rubens_Ricupero	PER
Assuntos_Internacionais	O
Tab_Ramos	PER
Meca_Vargas	PER
Associação_Médica_Norte-americana	ORG
Jos_Verstappen	PER
Deborah_Caldas	PER
Vera_Bononi	PER
Asuapi	O
Departamento_de_Estado	ORG
Federal_Bureau_Investigation	ORG
Agropecuária_América	ORG
Citrovita_Agropecuária	ORG
Congresso_Nacional	ORG
Programa_de_Integração_Social	O
Fundo_de_Participação_dos_Estados_e_municípios	O
João_Alves	PER
Caio_Gorentzvaig	PER
Anjos_da_Noite	ORG
Wilson_Barros	PER
Marilia_Pêra	PER
Márcia_Cibilis_Viana	PER
Paulo_de_Almeida	PER
Aluizio_de_Castro	PER
Nilton_Cerqueira	PER
Emir_Larangeira	PER
Barra_Mansa	LOC
Instituto_Brasileiro_de_Turismo	ORG
Secretaria_da_Fazenda	ORG
Estado_de_São_Paulo	LOC
Marcelo_Negrão	PER
Líbero_Badaró	PER
São_Bento	O
Japan_Steel	O
Sete_Ondas	O
Casa_da_Cultura_dos_Povos	O
Centro_Internacional_de_Arte_e_Escultura	ORG
Organização_dos_Estados_Americanos	ORG
João_do_Amaral_Gurgel	PER
Mogi_Mirim	LOC
Superliga_Nacional_Masculina	ORG
Tijuca_Tênis_Clune	ORG
Brendan_Fraser	PER
Gore_Vidal	PER
Organizações_Globo	ORG
Companhia_de_Mineração	ORG
Rede_RBS	ORG
Net_Brasil	ORG
Parque_São_Carlos	LOC
Nova_Iguaçu	LOC
Robert_McDuffie	PER
Mohamed_6º	PER
Tratado_de_Sèvres	O
Mustafá_Kemal	PER
Primeira_Guerra_Mundial	O
Assembléia_Nacional	ORG
Josip_Weber	ORG
Carmelita_Aralse_Tebele	O
Beth_Tebele	PER
Albano_Miguel_Ferreira	PER
Santa_Cecília	LOC
Administração_Regional	ORG
Leonilson_Ribeiro	PER
Parque_Nacional_da_Lagoa_do_Peixe	LOC
Hyatt_Regency_Aruba	LOC
Banco_Mercantil	ORG
Maria_Bethânia	PER
Gilberto_Gil	PER
Magda_Collares	PER
Fausto_Silva	PER
David_Postman	PER
Murilo_Mendes	PER
Los_Angeles	LOC
Epson_Stylus_800	O
Compaq_Aero	O
J&R_Computer_World	O
Jânio_Quadros	PER
Mario_Covas	PER
Nove_de_Julho	O
Reynaldo_de_Barros	PER
Vias_Públicas	O
Secretaria_da_Saúde	ORG
Fundação_Nacional_de_Saúde	ORG
Zoneamento_Ecológico-Econômico	O
Clarismino_Júnior	PER
Meia_Ponte	O
Dolores_de_Pança	PER
IPC-amplo	O
Nuno_Leal_Maia	PER
Alexandre_Moreno	PER
Raul_Pelegrini	PER
Tarcísio_Meira	PER
Justiça_Federal	ORG
Dom_Isidoro_Oliveira_Preto	PER
Banco_de_Boston	ORG
Akzo/Tintas_Ypiranga	O
Castor_de_Andrade	PER
Polícia_Civil	ORG
Juscelino_Kubitschek	PER
José_Maria_Alkimin	PER
Automóvel_Clube	ORG
Sara_Lemos	PER
Jayme_Lemos	PER
Prêmio_Simbólico	O
Roberto_Dávila	PER
Cerimônia_de_Casamento	O
The_New_York_Times	ORG
Said_Miguel	O
Comissão_de_Agricultura	ORG
Câmara_dos_Deputados	ORG
Fernando_Collor	PER
Luís_Carlos_Chaves	PER
Golden_Horn	O
Matis-Paris_Brasil	O
Lourenço_Lopes	PER
Iti_Fuji	PER
Luiz_Estevão	PER
Casa_da_Dinda	LOC
Eunícia_Guimarães	PER
Pedro_Collor	PER
Aloizio_Mercadante	PER
José_Dirceu	PER
João_Hermann	PER
Reuters_Holdings	PER
Eufrasio_Veículos	ORG
Campos_do_Jordão	LOC
Câmara_Americana	ORG
Sonia_Braga	PER
Andy_Garcia	PER
Arantxa_Sanchez	PER
Us_Open	O
Monica_Seles	PER
Um_Paraíso_Perdido	O
Empresa_Metropolitana_de_Transportes_Urbanos	ORG
José_Scafura	PER
Luis_Carlos_Scafura	PER
Vasco_da_Gama	ORG
Luís_de_Camões	PER
Souza_Cruz	O
Míton_Cabral	PER
World_Trade_Center	LOC
Santana_de_Parnaíba	LOC
Lei_8.666	O
All-Star_Music_Resort	O
Fome_e_desemprego_._Agricultura_é_a_solução	O
Costa_e_Silva	PER
Champs_Elysèes	LOC
Sérgio_Amaral	PER
Ibsen_Pinheiro	PER
Carlos_Alberto_Parreira	PER
Folha/«The_New_York_Times»	O
Sesc_Pompéia	ORG
Nuno_Ramos	PER
Exercícios_Visuais	O
Pinheiros_Vivo	O
Vila_Olímpia_Viva	O
Horácio_Galvanese	PER
Siegbert_Zanettini	PER
Instituto_de_Pesquisas_Econômicas_e_Administrativas/MG	ORG
Fúria_Metal	O
Iggy_Pop	PER
Blitzkrieg_Bop	O
I_Wanna_Live	O
Poison_Heart	O
Santa_Maria_da_Vitória	LOC
Arthur_Sendas	PER
Via_Dutra	LOC
Linha_Vermelha	LOC
Nacional_Iguatemi_Empreendimentos	ORG
Palácio_Bandeirantes	LOC
Juca_Chaves	PER
Jucabaré-Theatro_Inteligente	O
Major_Sertório	PER
Fundo_Social_de_Solidariedade	O
Casa_Legislativa	ORG
Vladimir_Rioli	PER
Os_Imperdoáveis	O
Um_Mundo_Perfeito	O
Philip_Perry	PER
T.J._Lowther	PER
Butch_Haynes	PER
Kevin_Costner	PER
Neil_Armstrong	PER
Rene_Degni-Segui	PER
Costa_do_Marfim	LOC
Nova_Força	O
Djalma_Falcão	PER
Congresso_Internacional_de_Direitos_Autorais	ORG
Luiz_Roberto_Nascimento_Silva	PER
Conselho_Nacional_de_Direito_Autoral	ORG
Espiridião_Amin	PER
Ronan_Tito	PER
Gilberto_Miranda	PER
Renata_Lourenção	PER
Secretaria_Estadual_da_Saúde	ORG
Centro_de_Vigilância_Epidemiológica	ORG
Wagner_Costa	PER
Luiz_Antonio_Fleury_Filho	ORG
Johan_Cruyff	PER
Telê_Santana	PER
Parque_Antarctica	LOC
Lanternas_Vermelhas	O
Zhang_Yimou	PER
Bolsa_de_Mercadorias_e_Futuros	ORG
Sant\'Anna	O
Los_Gatos	O
Propaganda_-_O_Poder_da_Imagem	O
Universidade_Federal_da_Paraíba	ORG
John_Ritchings	PER
Ritchings	PER
Markus_Sokol	PER
Fundação_Dom_Cabral	ORG
STC-Executivo	O
Paulo_Ubiratan	PER
Laerte_Leite_Cordeiro	PER
Guerra_Fria	O
Houston_Rockets	ORG
Estado_de_Direito	O
Carlos_Andrés_Pérez	PER
João_Gilberto	PER
Isso_é_Bossa_Nova	O
União_São_João	O
Copa_Bandeirantes	O
Série_A-1	O
A-2	O
Campeonato_Paulista	ORG
Letícia_Zioni_Gomes	PER
Bruno_Fanizzi	PER
Manoela_Nicoletti	PER
Lennart_Johansson	PER
Onze_de_Ouro	O
Onze_Mundial	O
Nosso_Senhor_do_Bonfim	O
Comissão_Mista_de_Orçamento	ORG
Universidade_Estadual_Paulista	ORG
Luiz_Gushiken	PER
Luiz_Azevedo	PER
Ministério_Público	ORG
Corrente_Sindical_Classista	ORG
Bourgueil_LÉchellerie	O
Les_Granges	O
Oscar_Tadaioshi_Izumi	PER
Wilma_Kovesi	PER
Tratado_de_Assunção	O
Beverly_Boulevard	O
Errol_Flynn	PER
Frank_Sinatra	PER
Billy_Wilder	PER
Dominick\'s	O
Bruce_Mendes_Campos	PER
Aloysio_Campos_da_Paz	PER
Márcio_Putnoki	PER
Q1	O
Faculdade_de_Medicina	O
Banco_Real	ORG
João_Pessoa	O
Interferon_Beta	O
Faculdade_de_Direito	O
Barnes_and_Nobles	ORG
Viação_Boa_Vista	ORG
Polícia_Rodoviária	ORG
Hospital_Mário_Gatti	LOC
Centros_Populares_de_Cultura	ORG
União_Nacional_dos_Estudantes	ORG
Margaret_Thatcher	PER
Mancha_Verde	ORG
Gaviões_da_Fiel	ORG
Tribunal_Regional_Eleitoral	ORG
Rui_Ramos	PER
Sá_Freire	PER
Walter_Queiroz	PER
Renato_Trindade	PER
Gilberto_Fernandes	PER
A_Pesca_no_Amazonas_-_Segredos,_Roteiros_e_Estórias	O
Polícia_Militar	ORG
AM-10	O
Céramus	O
Claude_Durand	PER
Ulysses_Guimarães	PER
Leitão_de_Abreu	PER
Gabinete_Civil	ORG
Tim_Maia	PER
Roger_Sperry	PER
Prêmio_Nobel	O
Instituto_da_Califórnia_para_Tecnologia_Avançada	ORG
Grupo_dos_Sete	O
Super-301	O
Comando_Vermelho	ORG
Maurício_Corrêa	PER
Digable_Planets	O
Banco_Itamarati	ORG
Companhia_Brasileira_de_Alumínio	ORG
OAS_Participações	ORG
Antonio_Carlos_de_Moura	PER
Folha_da_Manhã_S/A	ORG
Partido_Revolucionário_Institucional	ORG
Ernesto_Zedillo	PER
Banana_Banana	O
Palácio_da_Justiça	O
José_Genoino	PER
José_Serra	PER
Zé_Milionário	PER
José_Carlos_Araújo	PER
Octávio_Cavalcanti_Lacombe	PER
Maria_Estela	PER
Ministério_Público_Estadual	ORG
Empresa_de_Correios_e_Telégrafos	ORG
Caixa_Econômica_Federal	ORG
Flávio_Pozzuto	PER
Hubert_Imóveis_e_Administração	ORG
Vila_Nova_Cachoeirinha	LOC
Tide_Setubal	PER
Revolução_dos_Cravos	O
Secretaria_Municipal_da_Administração	PER
Diário_Oficial	O
Rodney_King	PER
Osires_Lopes_Filho	PER
McDonald\'s	ORG
William_Rhodes	ORG
Segurança_Pública	O
Antônio_Correia_Meyer	ORG
Federação_Paulista_de_Futebol	ORG
Raul_Torres_&_Florêncio	O
Márcio_Ribeiro	PER
Departamento_de_Estradas_de_Rodagem	ORG
Through_the_Woods	O
Por_o_Bosque	O
At_the_Seashore	O
Em_a_Praia	O
Eliezer_Batista	PER
F-1	ORG
Mário_Luna	ORG
Departamento_de_Crédito_e_Financiamento	ORG
Jair_Pereira	PER
Caio_Martins	PER
Alexander_Popov	PER
Financial_Times	ORG
O_Olho_da_Revolução	O
Antigo_Testamento	O
Presidência_da_República	O
Tribunal_Superior_Eleitoral	PER
Segunda_Guerra	O
Bruto_Rosé	O
João_Pato	PER
Cabernet_Sauvignon	O
Ana_Moser	PER
América_Latina	O
Sudeste_Asiático	LOC
Exército_Republicano_Irlandês	ORG
Irlanda_do_Norte	LOC
Frank_Kerr	PER
Jardim_Mutinga	O
Cia._City_de_Desenvolvimento	O
Sérgio_Ueta	PER
Ueta_Indústria_e_Comércio_de_Aparelhos_Eletrônicos	ORG
Empresarial_Jaraguá	O
Martin_Luther_King	PER
Humberto_Lucena	PER
Adylson_Motta	PER
Ambito_Financiero	O
Donna_Karan	PER
Bryant_Park	PER
Biblioteca_Nacional	O
Benito_Gama	PER
John_Paul_Getty	PER
John_Paul_Getty_2º	PER
Antonio_Canova	PER
Grande_Prêmio	O
Senna_erra_e_Schumacher_vence	O
Sean_Connery	PER
Kate_Moss	PER
Beni_Veras	PER
Gama\'a_al-Islamiya	O
Vale_do_São_Francisco	LOC
Francisco_Badenes	PER
Comissão_de_Processos_Administrativos_Especiais	ORG
Wilson_Barbosa	PER
Michael_Stipe	PER
Mike_Mills	PER
Losing_My_Religion	O
Roberto_Requião	PER
Movimento_Zona_Sul	O
Luiz_Antonio_Siqueira_Dias	PER
Folha_Informações	O
Instituto_Ulysses_Guimarães_de_Estudos_Políticos_e_Sociais	ORG
Forças_Armadas	ORG
Guatemala_Blues	O
Mostar_Sarajevo	O
Yasuhi_Akashi	PER
Saulo_Ramos	PER
Medida_Provisória	O
Unidade_Real_de_Valor	PER
Newmann/Hass	O
Raul_Boesel	PER
Joyce_Pascowitch	PER
Bruno_Bettelheim	PER
Câmara_Setorial	PER
Finame_Rural	O
Dennis_Robertson	PER
Lionel_Robbins	PER
Fernando_Casal_de_Rey	O
Jackie_O.	PER
O_Magnata_Grego	O
The_Greek_Tycoon	O
Anthony_Quinn	PER
Sócrates_Onassis	PER
