	TOKEN	NER_TAG
239	Luiz_Inácio_Lula_da_Silva	PER
241	Luís_Carlos_dos_Santos	PER
242	Tatiana_Marques_Pedrosa	PER
247	Jorge_Bornhausen	PER
248	Gustavo_Krause	PER
252	Euclides_da_Cunha	PER
254	Osvaldo_Aranha	PER
256	Salvo_Lima	PER
257	Ignacio_Perea	PER
258	Pérsio_Arida	PER
259	Marluce_Dias_da_Silva	PER
267	Hélio_Costa	PER
272	Fausto_Cardoso	PER
273	Cássia_Kiss	PER
274	Maria_do_Carmo_Nascimento_Alves	PER
275	José_Arthur_Giannotti	PER
276	Roberto_Schwarz	PER
277	Paul_Singer	PER
279	Rubens_Barrichello	PER
280	Christian_Fittipaldi	PER
281	Karl_Wendlinger	PER
282	Noélia_Soares	PER
283	João_Paulo_2º	PER
284	Emília_Ehrlich	PER
290	José_Paulo_Bisol	PER
291	Francisco_Rossi	PER
292	Mário_Covas	PER
296	Renato_Batista_Pedroso	PER
297	Douglas_José_da_Silva	PER
298	Roberto_Ilhesca	PER
300	Elijah_Litana	PER
301	Emmanuel_Amunike	PER
303	Ricki_Lake	PER
304	Karl_Lagerfeld	PER
306	Steve_Wonder	PER
307	Stevie_Wonder	PER
308	Wilson_Romão	PER
309	Miguel_Kodja_Neto	PER
310	Samir_Abdul_Hack	PER
311	João_Paulo_Bordon	PER
313	Fidel_Castro	PER
315	Deborah_Colker	PER
316	Alma_Corsária	PER
317	Carlos_Reichenbach	PER
319	Suzana_de_Moraes	PER
323	Arturo_Ripstein	PER
326	Miguel_Littin	PER
328	Francisco_Lombardi	PER
331	Mauro_Silva	PER
335	Tsunezaemon_Maeda	PER
338	Arnaldo_Leite	PER
346	Joilson_da_Silva	PER
347	Waldir_de_Arruda_Miranda_Carneiro	PER
353	Cacá_Diegues	PER
355	Jorge_Ben_Jor	PER
356	Ferreira_Jr.	PER
357	O_Amanuense_Belmiro	PER
358	Luiza_Erundina	PER
359	Paulo_Maluf	PER
361	Sérgio_Nogueira	PER
364	Othon_Bastos	PER
366	Reinaldo_Lourenço	PER
367	Walter_Rodrigues	PER
373	Lorenzo_Merlino	PER
374	Anderson_Rubbo	PER
375	Cacá_di_Guglielmo	PER
376	Alessandro_Tierni	PER
377	Claudia_Guimarães	PER
383	Juan_Manuel_Fangio	PER
386	Dan_Gurney	PER
394	Kalef_João_Francisco	PER
396	Francisco_Morato	PER
400	Juan_Jose_Galeano	PER
403	Orestes_Quércia	PER
408	Arnaldo_Baptista	PER
409	Vera_Lucia_Vassouras	PER
412	Andréa_Beltrão	PER
413	Marco_Nanini	PER
414	Naum_Alves_de_Souza	PER
415	Marisa_Orth	PER
416	Pedro_Paulo_Rangel	PER
417	Diogo_Vilela	PER
428	Isaac_Ainhorn	PER
429	Raymond_Kelly	PER
432	Marcos_Vinícius_Lima	PER
435	Manoel_Carlos_Marques_Beato	PER
436	José_Sebastião_Figueiredo	PER
439	Jack_«Girafa»_Charlton	PER
440	Jack_Girafa	PER
441	Flávio_Ferrari	PER
443	Plácido_Domingo	PER
444	Richard_Strauss	PER
445	LUÍS_ANTÔNIO_GIRON	PER
447	Visconde_da_Luz	PER
449	João_Cachoeira	PER
450	Clodomiro_Amazonas	PER
451	Fernando_Henrique	PER
452	Esperidião_Amin	PER
457	Ningxia_Hui	PER
461	Ella_Fitzgerald	PER
464	José_Carreras	PER
465	Thomas_Hampson	PER
466	Ben_Heppner	PER
467	Sergei_Leiferkus	PER
468	Bryn_Terfei	PER
469	Cecilia_Bartoli	PER
470	Jessye_Norman	PER
471	Anne_Sofie_von_Otter	PER
472	Dawn_Upshaw	PER
473	Galina_Gorchakova	PER
477	Márcio_Santos	PER
478	Kennet_Andersson	PER
479	Antonio_Jorge	PER
480	Pete_Sampras	PER
481	Michael_Stich	PER
483	Karim_Alami	PER
484	Ronald_Agenor	PER
485	Stefan_Edberg	PER
486	Anders_Jarryd	PER
493	Marcos_Cintra	PER
495	MONIQUE_EVANS	PER
496	Monique_Evans	PER
502	Marta_Suplicy	PER
506	Takeo_Hirata	PER
507	Takuo_Hirano	PER
508	Tetsuyuki_Hirano	PER
511	June_Drummond	PER
516	Piotr_Wator	PER
519	Fausto_Camper	PER
520	Jabaury_Jr.	PER
528	Bob_Fernandes	PER
529	Luiz_Antônio_de_Medeiros	PER
532	Alex_Trotman	PER
534	Douglas_Ivester	PER
535	Francisco_Lafayette	PER
537	Adolfo_Moruzzi	PER
539	Michael_Myers	PER
540	Freddy_Krueger	PER
541	Rubens_Ricupero	PER
543	Tab_Ramos	PER
544	Meca_Vargas	PER
546	Jos_Verstappen	PER
547	Deborah_Caldas	PER
548	Vera_Bononi	PER
557	João_Alves	PER
558	Caio_Gorentzvaig	PER
560	Wilson_Barros	PER
561	Marilia_Pêra	PER
562	Márcia_Cibilis_Viana	PER
563	Paulo_de_Almeida	PER
564	Aluizio_de_Castro	PER
565	Nilton_Cerqueira	PER
566	Emir_Larangeira	PER
571	Marcelo_Negrão	PER
572	Líbero_Badaró	PER
579	João_do_Amaral_Gurgel	PER
583	Brendan_Fraser	PER
584	Gore_Vidal	PER
591	Robert_McDuffie	PER
592	Mohamed_6º	PER
594	Mustafá_Kemal	PER
599	Beth_Tebele	PER
600	Albano_Miguel_Ferreira	PER
603	Leonilson_Ribeiro	PER
607	Maria_Bethânia	PER
608	Gilberto_Gil	PER
609	Magda_Collares	PER
610	Fausto_Silva	PER
611	David_Postman	PER
612	Murilo_Mendes	PER
617	Jânio_Quadros	PER
618	Mario_Covas	PER
620	Reynaldo_de_Barros	PER
625	Clarismino_Júnior	PER
627	Dolores_de_Pança	PER
629	Nuno_Leal_Maia	PER
630	Alexandre_Moreno	PER
631	Raul_Pelegrini	PER
632	Tarcísio_Meira	PER
634	Dom_Isidoro_Oliveira_Preto	PER
637	Castor_de_Andrade	PER
639	Juscelino_Kubitschek	PER
640	José_Maria_Alkimin	PER
642	Sara_Lemos	PER
643	Jayme_Lemos	PER
645	Roberto_Dávila	PER
651	Fernando_Collor	PER
652	Luís_Carlos_Chaves	PER
655	Lourenço_Lopes	PER
656	Iti_Fuji	PER
657	Luiz_Estevão	PER
659	Eunícia_Guimarães	PER
660	Pedro_Collor	PER
661	Aloizio_Mercadante	PER
662	José_Dirceu	PER
663	João_Hermann	PER
664	Reuters_Holdings	PER
668	Sonia_Braga	PER
669	Andy_Garcia	PER
670	Arantxa_Sanchez	PER
672	Monica_Seles	PER
675	José_Scafura	PER
676	Luis_Carlos_Scafura	PER
678	Luís_de_Camões	PER
680	Míton_Cabral	PER
686	Costa_e_Silva	PER
688	Sérgio_Amaral	PER
689	Ibsen_Pinheiro	PER
690	Carlos_Alberto_Parreira	PER
693	Nuno_Ramos	PER
697	Horácio_Galvanese	PER
698	Siegbert_Zanettini	PER
701	Iggy_Pop	PER
706	Arthur_Sendas	PER
711	Juca_Chaves	PER
713	Major_Sertório	PER
716	Vladimir_Rioli	PER
719	Philip_Perry	PER
720	T.J._Lowther	PER
721	Butch_Haynes	PER
722	Kevin_Costner	PER
723	Neil_Armstrong	PER
724	Rene_Degni-Segui	PER
727	Djalma_Falcão	PER
729	Luiz_Roberto_Nascimento_Silva	PER
731	Espiridião_Amin	PER
732	Ronan_Tito	PER
733	Gilberto_Miranda	PER
734	Renata_Lourenção	PER
737	Wagner_Costa	PER
739	Johan_Cruyff	PER
740	Telê_Santana	PER
743	Zhang_Yimou	PER
749	John_Ritchings	PER
750	Ritchings	PER
751	Markus_Sokol	PER
754	Paulo_Ubiratan	PER
755	Laerte_Leite_Cordeiro	PER
759	Carlos_Andrés_Pérez	PER
760	João_Gilberto	PER
767	Letícia_Zioni_Gomes	PER
768	Bruno_Fanizzi	PER
769	Manoela_Nicoletti	PER
770	Lennart_Johansson	PER
776	Luiz_Gushiken	PER
777	Luiz_Azevedo	PER
782	Oscar_Tadaioshi_Izumi	PER
783	Wilma_Kovesi	PER
786	Errol_Flynn	PER
787	Frank_Sinatra	PER
788	Billy_Wilder	PER
790	Bruce_Mendes_Campos	PER
791	Aloysio_Campos_da_Paz	PER
792	Márcio_Putnoki	PER
805	Margaret_Thatcher	PER
809	Rui_Ramos	PER
810	Sá_Freire	PER
811	Walter_Queiroz	PER
812	Renato_Trindade	PER
813	Gilberto_Fernandes	PER
818	Claude_Durand	PER
819	Ulysses_Guimarães	PER
820	Leitão_de_Abreu	PER
822	Tim_Maia	PER
823	Roger_Sperry	PER
829	Maurício_Corrêa	PER
834	Antonio_Carlos_de_Moura	PER
837	Ernesto_Zedillo	PER
840	José_Genoino	PER
841	José_Serra	PER
842	Zé_Milionário	PER
843	José_Carlos_Araújo	PER
844	Octávio_Cavalcanti_Lacombe	PER
845	Maria_Estela	PER
849	Flávio_Pozzuto	PER
852	Tide_Setubal	PER
856	Rodney_King	PER
857	Osires_Lopes_Filho	PER
864	Márcio_Ribeiro	PER
870	Eliezer_Batista	PER
874	Jair_Pereira	PER
875	Caio_Martins	PER
876	Alexander_Popov	PER
884	João_Pato	PER
886	Ana_Moser	PER
891	Frank_Kerr	PER
894	Sérgio_Ueta	PER
897	Martin_Luther_King	PER
898	Humberto_Lucena	PER
899	Adylson_Motta	PER
901	Donna_Karan	PER
902	Bryant_Park	PER
904	Benito_Gama	PER
905	John_Paul_Getty	PER
906	John_Paul_Getty_2º	PER
907	Antonio_Canova	PER
910	Sean_Connery	PER
911	Kate_Moss	PER
912	Beni_Veras	PER
915	Francisco_Badenes	PER
917	Wilson_Barbosa	PER
918	Michael_Stipe	PER
919	Mike_Mills	PER
921	Roberto_Requião	PER
923	Luiz_Antonio_Siqueira_Dias	PER
929	Yasuhi_Akashi	PER
930	Saulo_Ramos	PER
932	Unidade_Real_de_Valor	PER
934	Raul_Boesel	PER
935	Joyce_Pascowitch	PER
936	Bruno_Bettelheim	PER
937	Câmara_Setorial	PER
939	Dennis_Robertson	PER
940	Lionel_Robbins	PER
942	Jackie_O.	PER
945	Anthony_Quinn	PER
946	Sócrates_Onassis	PER
948	Manuel_Pacheco	PER
954	André_Meyer	PER
955	José_Carlo_Dri	PER
956	Evander_Holyfield	PER
959	Michael_Moorer	PER
960	Manoel_Lopes_Duarte	PER
961	Bil_T._Jones	PER
964	Liz_McComb	PER
965	Donald_Baechler	PER
967	Maguy_Marin	PER
969	Susan_Marshall	PER
972	Philip_Glass	PER
973	Julia_Child	PER
974	Marcella_Hazan	PER
975	Patricia_Wells	PER
977	Roberto_de_Oliveira	PER
980	Nelson_Mandela	PER
981	Tatau_Godinho	PER
982	Antônio_Amaral_de_Sampaio	PER
984	Amauri_Mascaro_Nascimento	PER
987	Mercedes_Ribeiro_de_Miranda	PER
988	Ana_Paula_Junqueira	PER
994	Elvis_Aaron_Presley	PER
995	Elvis_Presley	PER
1000	Ricardo_Jordão	PER
1001	Arret_Chanin	PER
1002	Gloria_Pires	PER
1003	Orlando_Moraes	PER
1004	Rita_Lee	PER
1007	Franklin_Delano_Roosevelt	PER
1009	Paulo_Araújo	PER
1011	Phillip_Trent	PER
1012	Brian_Fagerburg	PER
1013	Doreste_Batista	PER
1014	Nilo_Batista	PER
1016	Montoro_Filho	PER
1018	Guilherme_Palmeira	PER
1022	Bayern_Leverkusen	PER
1025	Francesco_Farina	PER
1026	Gloria_Attanasio	PER
1027	Mark_Fischer	PER
1031	Chico_de_Miguel	PER
1039	Vicente_Wilson_Rivera_Ramos	PER
1040	Vicente_Rivera_Gonzalez	PER
1041	Leonel_Brizola	PER
1044	Roman_Jakobson	PER
1045	Antonio_Britto	PER
1046	Maria_Elisa_Flora_Demarchi	PER
1048	Francis_Bacon	PER
1052	Brigadeiro_Luís_Antônio	PER
1053	Eliseu_Francisco_de_Lyra	PER
1054	Richard_Dart	PER
1055	Richard_Gustafson	PER
1060	Eduardo_Lourenço	PER
1061	José_Saramago	PER
1062	Aldegy_do_Nascimento	PER
1063	Ary_Chagas_de_Aguiar	PER
1064	Lúcia_Atalla	PER
1065	Spike_Lee	PER
1067	Jimi_Hendrix	PER
1068	James_Brown	PER
1069	Dave_Bruce	PER
1070	Adroaldo_Streck	PER
1079	Andrew_Duncan	PER
1080	José_Nazar	PER
1081	Miguel_Reale_Jr.	PER
1082	Anna_Lee-Feldstein	PER
1084	Marcus_Vinícius	PER
1085	Anderson_Leão	PER
1086	Silvio_Santos	PER
1088	Rubinho_Gimenes	PER
1089	Kazuo_Tamura	PER
1090	Lélio_Viana_Lôbo	PER
1092	Frank_Zappa	PER
1095	Christoph_Heinrich_Von_Beackedorff	PER
1100	Juarez_Rizzieri	PER
1102	Humberto_Nastari	PER
1107	Carlos_Mariani_Bittencourt	PER
1108	Sinn_Fein	PER
1109	Patrick_Mayhew	PER
1112	Hélio_Portocarrero	PER
1113	Vicente_Amato_Neto	PER
1114	Amato_Neto	PER
1116	Zdenek_Zeman	PER
1117	Alan_Boksic	PER
1118	Otto_Reiter	PER
1119	Ricardo_Fiuza	PER
1120	Cid_Carvalho	PER
1121	José_Geraldo	PER
1122	Manoel_Moreira	PER
1123	Fábio_Raunheitti	PER
1124	Paulo_Portugal	PER
1125	Olacyr_de_Moraes	PER
1126	Alfredo_Saad	PER
1127	Rolim_Amaro	PER
1128	Maja_Desnuda	PER
1130	Boris_Gorentzvaig	PER
1131	Vera_Melo_Araújo	PER
1133	Fábio_Igel	PER
1134	João_Herreras	PER
1135	Marcelo_Loureiro	PER
1138	Vera_Lúcia_Barbosa	PER
1140	René_Scorsa	PER
1141	Sérgio_Duran	PER
1144	Antonio_Delapieve	PER
1145	Henry_Kissinger	PER
1146	Mangosuthu_Buthelezi	PER
1147	Burhanuddin_Rabbani	PER
1148	Gulbuddin_Hekmatyar	PER
1151	Yohei_Kono	PER
1152	James_McDougal	PER
1153	Bruno_Maranhão	PER
1155	Sérgio_Machado	PER
1157	Raoul_Coutard	PER
1160	Leonardo_Romanioli_Filho	PER
1161	Luís_Silveira	PER
1162	José_Fioravanti	PER
1164	Sérgio_Fioravanti	PER
1166	Emily_Lloyd	PER
1169	Chris_Columbus	PER
1171	Sargento_Rock	PER
1172	Joel_Silver	PER
1173	Arnold_Schwarzenegger	PER
1174	Bruce_Willis	PER
1178	Waldemar_de_Brito	PER
1183	Algirdas_Zebrauskas	PER
1184	Leonid_Kravtchuk	PER
1187	Armando_Laganá	PER
1188	Márcio_Rillo	PER
1189	Stephen_Freehill	PER
1190	Michael_Fay	PER
1191	Al_Anad	PER
1192	Ali_Abdulllah_Saleh	PER
1195	Rubens_Gonçalves_Barrichello	PER
1197	Marcos_Augusto_Gonçalves	PER
1200	Eduardo_Lago	PER
1201	Joseph_McCarthy	PER
1204	Carlos_Alberto_Dias	PER
1209	Simon_Franco	PER
1210	Simon_Franco_Recursos_Humanos	PER
1212	Antonio_Henrique_Pedrosa_Neto	PER
1214	Mauro_Pereira	PER
1215	Gilson_Paulino_dos_Santos	PER
1218	Adriano_Herculano_da_Silva	PER
1219	Onaldo_Pereira	PER
1222	Miguel_Ângelo_da_Luz	PER
1232	Abel_Ferrara	PER
1233	Harvey_Keitel	PER
1234	James_Russo	PER
1235	Serena_Cay	PER
1237	Sérgio_Motta	PER
1238	Paulo_Renato_de_Souza	PER
1239	Maria_Carey	PER
1240	Irene_Papas	PER
1241	Dalmo_Rosalen	PER
1244	Julie_Halard	PER
1245	Virginia_Slims_Masters	PER
1247	Osny_Silveira_Neto	PER
1248	Guilherme_Silveira	PER
1249	Marilena_Chaui	PER
1250	Gloria_Kalil	PER
1251	Jorge_da_Cunha_Lima	PER
1252	Claude_Lefort	PER
1253	Sérgio_Cardoso	PER
1254	Cláudia_Morgado	PER
1255	Dick_Advocaat	PER
1256	Manoel_Salviano	PER
1257	Renata_Queiróz	PER
1258	Patrícia_Gomes	PER
1259	Ciro_Gomes	PER
1260	Ruth_Cardoso	PER
1264	Manuel_Tavares_da_Graça	PER
1265	José_Tavares_da_Graça	PER
1266	Floriano_Graça	PER
1267	John_Cassavettes	PER
1268	Kim_Ho	PER
1271	Fernando_Belo	PER
1272	Marcello_Alencar	PER
1273	André_Penner	PER
1274	Eduardo_Castanho	PER
1275	Saul_Queiroz	PER
1276	Rogério_Voltan	PER
1277	Ricardo_Hantzchel	PER
1278	Fausto_Chermont	PER
1279	Eliana_Lopes	PER
1280	Ribeirão_Preto	PER
1284	Mercedes_Rossi_de_Almeida	PER
1285	Sven-Goran_Eriksson	PER
1286	Ruud_Gullit	PER
1287	Giampiero_Boniperti	PER
1288	Roberto_Bettega	PER
1289	Giovanni_Trapattoni	PER
1290	Marcello_Lippi	PER
1291	Roberto_Baggio	PER
1293	Godofredo_Furtado	PER
1294	Antonio_Carlos_Gomes_da_Silva	PER
1295	VERA_LÚCIA_DA_COSTA_ANTUNES	PER
1296	Arnaldo_Montenegro	PER
1297	Andrade_Martins	PER
1298	Robert_Winston	PER
1299	Franco_Zefirelli	PER
1300	Abram_Szajman	PER
1302	Mauro_Salles	PER
1303	Alexandra_Brochen	PER
